NM,threads,av_time,speedup,effect
20000,1,0.3890,1.00000,1.00
20000,2,0.1925,2.0208,1.01
20000,4,0.0926,4.2009,1.05
20000,7,0.0576,6.7535,0.96
20000,8,0.0503,7.7336,0.97
20000,16,0.0508,7.6575,0.48
20000,20,0.0510,7.6275,0.38
20000,25,0.0502,7.7490,0.31
20000,30,0.0518,7.5097,0.25
20000,35,0.0512,7.5977,0.22
20000,40,0.0514,7.5681,0.19
20000,45,0.0509,7.6424,0.17

Best num threads for 20000: 8

40000,1,1.5476,1.00000,1.00
40000,2,0.7651,2.0227,1.01
40000,4,0.3631,4.2622,1.07
40000,7,0.1978,7.8241,1.12
40000,8,0.1861,8.3160,1.04
40000,16,0.2072,7.4691,0.47
40000,20,0.2016,7.6766,0.38
40000,25,0.2033,7.6124,0.30
40000,30,0.2042,7.5788,0.25
40000,35,0.2022,7.6538,0.22
40000,40,0.2102,7.3625,0.18
40000,45,0.2037,7.5974,0.17

Best num threads for 40000: 8

